cbsa,metro,state,population,median_household_income,median_gross_rent
15980,"Cape Coral-Fort Myers, FL",Florida,834573,73099,1597
37100,"Oxnard-Thousand Oaks-Ventura, CA",California,829590,107327,2248
14260,"Boise City, ID",Idaho,824657,82587,1369
29460,"Lakeland-Winter Haven, FL",Florida,818330,63644,1272
19430,"Dayton-Kettering-Beavercreek, OH",Ohio,814363,70071,990
44700,"Stockton-Lodi, CA",California,800965,88531,1633
24660,"Greensboro-High Point, NC",North Carolina,789842,63525,1024
17820,"Colorado Springs, CO",Colorado,768832,87252,1613
30780,"Little Rock-North Little Rock-Conway, AR",Arkansas,764045,65308,999
19780,"Des Moines-West Des Moines, IA",Iowa,737164,85163,1098
39340,"Provo-Orem-Lehi, UT",Utah,732197,96751,1432
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Florida,721796,67736,1426
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",New York,704620,96824,1568
10420,"Akron, OH",Ohio,698398,71437,1007
49180,"Winston-Salem, NC",North Carolina,695630,64608,955
31540,"Madison, WI",Wisconsin,694345,87082,1270
36260,"Ogden, UT",Utah,658133,99748,1413
45060,"Syracuse, NY",New York,652956,73440,1027
48620,"Wichita, KS",Kansas,652939,69046,968
37340,"Palm Bay-Melbourne-Titusville, FL",Florida,643979,75817,1456
12260,"Augusta-Richmond County, GA-SC",Georgia,629429,69122,1098
27140,"Jackson, MS",Mississippi,610257,61615,1038
20500,"Durham-Chapel Hill, NC",North Carolina,608879,82000,1321
25420,"Harrisburg-Carlisle, PA",Pennsylvania,606055,79640,1143
44060,"Spokane-Spokane Valley, WA",Washington,600292,73016,1173
45780,"Toledo, OH",Ohio,600141,63869,914
22220,"Fayetteville-Springdale-Rogers, AR",Arkansas,590337,78404,1096
16860,"Chattanooga, TN-GA",Tennessee,580971,68845,1068
42540,"Scranton--Wilkes-Barre, PA",Pennsylvania,569413,63582,961
35300,"New Haven, CT",Connecticut,568158,86266,1463
38860,"Portland-South Portland, ME",Maine,566329,88371,1365
39900,"Reno, NV",Nevada,564782,84332,1476
29540,"Lancaster, PA",Pennsylvania,558589,83703,1289
33700,"Modesto, CA",California,551430,79661,1528
38940,"Port St. Lucie, FL",Florida,536901,72578,1492
37860,"Pensacola-Ferry Pass-Brent, FL",Florida,530090,74627,1315
26620,"Huntsville, AL",Alabama,527254,83529,1071
30460,"Lexington-Fayette, KY",Kentucky,520045,70478,1064
28660,"Killeen-Temple, TX",Texas,501333,67038,1150
44180,"Springfield, MO",Missouri,491053,62881,915
42220,"Santa Rosa-Petaluma, CA",California,481812,102840,2093
47300,"Visalia, CA",California,479468,69489,1206
29620,"Lansing-East Lansing, MI",Michigan,473177,71133,1051
48900,"Wilmington, NC",North Carolina,467337,73861,1277
49620,"York-Hanover, PA",Pennsylvania,464640,82238,1150
44140,"Springfield, MA",Massachusetts,460291,70535,1105
23060,"Fort Wayne, IN",Indiana,457842,69423,959
47930,"Waterbury-Shelton, CT",Connecticut,456128,86365,1288
46700,"Vallejo, CA",California,449218,99994,2088
18580,"Corpus Christi, TX",Texas,448323,66014,1217
42200,"Santa Maria-Santa Barbara, CA",California,441257,95977,2050
41420,"Salem, OR",Oregon,436546,76001,1320
39740,"Reading, PA",Pennsylvania,432821,77684,1143
41500,"Salinas, CA",California,430723,94486,1995
31700,"Manchester-Nashua, NH",New Hampshire,427354,100436,1532
15180,"Brownsville-Harlingen, TX",Texas,426710,51334,899
49660,"Youngstown-Warren, OH",Ohio,425969,55346,779
42340,"Savannah, GA",Georgia,424935,75137,1361
25060,"Gulfport-Biloxi, MS",Mississippi,421916,61084,1060
11700,"Asheville, NC",North Carolina,417202,69101,1208
29180,"Lafayette, LA",Louisiana,414288,61456,932
