occ_code,state,median_annual,employment
11-3031,Oklahoma,125430,5570
11-3031,Oregon,137390,6820
11-3031,Pennsylvania,137770,27660
11-3031,Rhode Island,159390,1870
11-3031,South Carolina,125270,9630
11-3031,South Dakota,152690,750
11-3031,Tennessee,129970,18210
11-3031,Texas,155380,63800
11-3031,Utah,132200,7880
11-3031,Vermont,113430,1780
11-3031,Virginia,166680,18170
11-3031,Washington,168120,12640
11-3031,West Virginia,96630,2520
11-3031,Wisconsin,133430,11150
11-3031,Wyoming,110660,660
11-9021,Alabama,95190,6440
11-9021,Alaska,131420,1380
11-9021,Arizona,105480,8040
11-9021,Arkansas,87590,2080
11-9021,California,124690,36950
11-9021,Colorado,106650,12830
11-9021,Connecticut,120100,2260
11-9021,Delaware,131750,700
11-9021,District of Columbia,126940,1130
11-9021,Florida,102940,26720
11-9021,Georgia,99540,6850
11-9021,Hawaii,120670,2800
11-9021,Idaho,84860,1650
11-9021,Illinois,108140,15930
11-9021,Indiana,98840,5450
11-9021,Iowa,94910,1990
11-9021,Kansas,102980,2610
11-9021,Kentucky,98670,1280
11-9021,Louisiana,103110,4180
11-9021,Maine,102610,1500
11-9021,Maryland,111650,5780
11-9021,Massachusetts,134460,7970
11-9021,Michigan,104610,6340
11-9021,Minnesota,104370,5120
11-9021,Mississippi,83300,1330
11-9021,Missouri,103870,3130
11-9021,Montana,112080,1740
11-9021,Nebraska,88590,2990
11-9021,Nevada,100100,4390
11-9021,New Hampshire,104900,840
11-9021,New Jersey,142810,9250
11-9021,New Mexico,93370,1270
11-9021,New York,139370,7240
11-9021,North Carolina,101400,21520
11-9021,North Dakota,99020,950
11-9021,Ohio,93050,14010
11-9021,Oklahoma,99170,1830
11-9021,Oregon,120000,3540
11-9021,Pennsylvania,104420,3550
11-9021,Rhode Island,100340,360
11-9021,South Carolina,100610,4340
11-9021,South Dakota,106580,690
11-9021,Tennessee,86540,6930
11-9021,Texas,98290,45770
11-9021,Utah,95960,3660
11-9021,Vermont,99990,770
11-9021,Virginia,106740,7350
11-9021,Washington,129680,7460
11-9021,West Virginia,90230,570
11-9021,Wisconsin,108480,4880
11-9021,Wyoming,85400,840
11-9111,Alabama,86590,9290
11-9111,Alaska,123530,1300
11-9111,Arizona,109490,10550
11-9111,Arkansas,83680,6720
11-9111,California,139430,57310
11-9111,Colorado,125840,8180
11-9111,Connecticut,125460,6970
11-9111,Delaware,134360,1420
11-9111,District of Columbia,144350,1900
11-9111,Florida,104310,35950
11-9111,Georgia,128660,8150
11-9111,Hawaii,129440,2230
11-9111,Idaho,107250,
11-9111,Illinois,109050,18970
11-9111,Indiana,99290,11620
11-9111,Iowa,97810,6000
11-9111,Kansas,101450,5120
11-9111,Kentucky,97550,8440
11-9111,Louisiana,100340,5190
11-9111,Maine,105260,2050
11-9111,Maryland,130030,14770
11-9111,Massachusetts,131340,19480
11-9111,Michigan,101840,15550
11-9111,Minnesota,113460,10340
11-9111,Mississippi,83640,5170
11-9111,Missouri,102010,8800
11-9111,Montana,102910,2320
11-9111,Nebraska,101330,3750
11-9111,Nevada,104200,4560
11-9111,New Hampshire,122380,1980
11-9111,New Jersey,129370,17070
11-9111,New Mexico,112810,2600
11-9111,New York,144230,25910
11-9111,North Carolina,105640,14720
11-9111,North Dakota,108450,630
11-9111,Ohio,103690,19080
11-9111,Oklahoma,98940,5930
11-9111,Oregon,132000,6060
11-9111,Pennsylvania,106270,20800
11-9111,Rhode Island,122940,1850
11-9111,South Carolina,104140,7100
11-9111,South Dakota,110110,1050
11-9111,Tennessee,103220,12530
11-9111,Texas,105460,51030
11-9111,Utah,101400,4670
11-9111,Vermont,111670,920
11-9111,Virginia,121610,9380
11-9111,Washington,135800,7660
11-9111,West Virginia,105510,2060
11-9111,Wisconsin,124450,5520
11-9111,Wyoming,102210,1010
11-9141,Alabama,49430,2910
11-9141,Alaska,58920,580
11-9141,Arizona,62810,6610
11-9141,Arkansas,46080,1430
11-9141,California,69560,50100
11-9141,Colorado,92830,2290
11-9141,Connecticut,77000,3150
11-9141,Delaware,61360,750
11-9141,District of Columbia,77710,2250
11-9141,Florida,63540,
11-9141,Georgia,62070,7400
11-9141,Hawaii,62710,1830
11-9141,Idaho,50110,1610
11-9141,Illinois,66810,12550
11-9141,Indiana,58750,4270
11-9141,Iowa,49990,2290
11-9141,Kansas,48880,2830
11-9141,Kentucky,48790,2930
11-9141,Louisiana,48280,3560
11-9141,Maine,59000,710
11-9141,Maryland,74650,4810
11-9141,Massachusetts,82480,5410
11-9141,Michigan,58880,6390
11-9141,Minnesota,62360,5140
11-9141,Mississippi,46330,2230
11-9141,Missouri,49280,4650
11-9141,Montana,45130,1360
11-9141,Nebraska,60300,1330
11-9141,Nevada,60480,4100
11-9141,New Hampshire,65560,740
11-9141,New Jersey,79970,4770
11-9141,New Mexico,52330,1240
11-9141,New York,96110,10480
11-9141,North Carolina,61260,7890
11-9141,North Dakota,60150,810
11-9141,Ohio,49220,9500
11-9141,Oklahoma,53360,2080
11-9141,Oregon,62610,2670
11-9141,Pennsylvania,62320,7630
11-9141,Rhode Island,91980,680
11-9141,South Carolina,58960,4450
11-9141,South Dakota,47300,1160
11-9141,Tennessee,59750,5010
11-9141,Texas,61230,31810
11-9141,Utah,60690,3210
11-9141,Vermont,62020,390
11-9141,Virginia,73110,4860
11-9141,Washington,102610,2720
11-9141,West Virginia,45560,1290
11-9141,Wisconsin,65000,1670
11-9141,Wyoming,58740,410
13-1031,Alabama,77820,4940
13-1031,Alaska,86820,200
13-1031,Arizona,61870,12880
13-1031,Arkansas,64950,2420
13-1031,California,80120,24880
13-1031,Colorado,74930,5280
13-1031,Connecticut,83120,3610
13-1031,Delaware,73610,670
13-1031,District of Columbia,65500,450
13-1031,Florida,65440,28730
13-1031,Georgia,72970,15380
13-1031,Hawaii,71490,980
13-1031,Idaho,63890,1420
13-1031,Illinois,75990,12500
13-1031,Indiana,62310,3900
13-1031,Iowa,66880,3770
13-1031,Kansas,74340,3330
13-1031,Kentucky,70380,4100
13-1031,Louisiana,67080,2680
13-1031,Maine,69500,1640
13-1031,Maryland,84720,5020
13-1031,Massachusetts,79110,5560
13-1031,Michigan,75070,6320
13-1031,Minnesota,75900,4930
13-1031,Mississippi,62880,1620
13-1031,Missouri,72010,5060
13-1031,Montana,62620,980
13-1031,Nebraska,67080,2880
13-1031,Nevada,62580,2350
13-1031,New Hampshire,77810,830
13-1031,New Jersey,81820,10060
13-1031,New Mexico,69200,1170
13-1031,New York,80080,17070
13-1031,North Carolina,76200,9620
13-1031,North Dakota,59660,770
13-1031,Ohio,76000,8840
13-1031,Oklahoma,64730,3660
13-1031,Oregon,77150,2570
13-1031,Pennsylvania,68500,13640
13-1031,Rhode Island,82530,1130
13-1031,South Carolina,76060,3600
13-1031,South Dakota,74950,980
13-1031,Tennessee,64530,6350
13-1031,Texas,67390,23750
13-1031,Utah,65780,2160
13-1031,Vermont,77400,340
13-1031,Virginia,76360,5240
13-1031,Washington,78400,5430
13-1031,West Virginia,60330,1560
13-1031,Wisconsin,66100,6360
13-1031,Wyoming,76170,180
13-1071,Alabama,60120,10620
13-1071,Alaska,69040,1370
13-1071,Arizona,62930,19810
13-1071,Arkansas,54230,5720
13-1071,California,79870,96920
13-1071,Colorado,77490,19440
13-1071,Connecticut,76220,8450
13-1071,Delaware,70990,3410
13-1071,District of Columbia,100980,7740
13-1071,Florida,61500,62950
13-1071,Georgia,63610,30940
13-1071,Hawaii,65840,3050
13-1071,Idaho,62570,3310
13-1071,Illinois,65990,34090
13-1071,Indiana,60020,17550
13-1071,Iowa,63590,7210
13-1071,Kansas,64500,7850
13-1071,Kentucky,61650,10280
13-1071,Louisiana,58830,6590
13-1071,Maine,69100,2610
13-1071,Maryland,78610,16190
13-1071,Massachusetts,77420,26090
13-1071,Michigan,63970,25590
13-1071,Minnesota,74500,16890
13-1071,Mississippi,52210,4470
13-1071,Missouri,60380,17620
13-1071,Montana,58560,2370
13-1071,Nebraska,57830,7730
13-1071,Nevada,62690,6200
13-1071,New Hampshire,65780,4170
13-1071,New Jersey,78640,20500
13-1071,New Mexico,60150,4210
13-1071,New York,80050,53700
13-1071,North Carolina,64880,29990
13-1071,North Dakota,65020,1670
13-1071,Ohio,62640,34630
13-1071,Oklahoma,57220,8480
13-1071,Oregon,69170,10420
13-1071,Pennsylvania,61670,39570
13-1071,Rhode Island,65000,3060
13-1071,South Carolina,62180,11840
13-1071,South Dakota,58700,1490
13-1071,Tennessee,60370,21010
13-1071,Texas,62050,81110
13-1071,Utah,62650,9740
13-1071,Vermont,67570,1270
13-1071,Virginia,76840,30840
13-1071,Washington,81190,24460
13-1071,West Virginia,62070,2750
13-1071,Wisconsin,64570,17090
13-1071,Wyoming,60530,920
13-1111,Alabama,98900,5830
13-1111,Alaska,101250,380
13-1111,Arizona,82900,16600
13-1111,Arkansas,60920,5410
13-1111,California,99800,110430
13-1111,Colorado,94750,13130
13-1111,Connecticut,102960,9570
13-1111,Delaware,86560,4440
13-1111,District of Columbia,119480,18570
13-1111,Florida,82390,68540
13-1111,Georgia,101530,34060
13-1111,Hawaii,83780,2610
13-1111,Idaho,74790,2820
13-1111,Illinois,104610,44210
13-1111,Indiana,83560,12140
13-1111,Iowa,83490,5070
13-1111,Kansas,79720,5300
13-1111,Kentucky,82130,4230
13-1111,Louisiana,93870,3540
13-1111,Maine,77730,1960
13-1111,Maryland,116020,21070
13-1111,Massachusetts,111550,30900
13-1111,Michigan,84840,15390
13-1111,Minnesota,92310,20780
13-1111,Mississippi,66540,3350
13-1111,Missouri,83890,10370
13-1111,Montana,78660,1130
13-1111,Nebraska,79990,2800
13-1111,Nevada,82360,3770
13-1111,New Hampshire,102840,2630
13-1111,New Jersey,103770,19300
13-1111,New Mexico,81620,3090
13-1111,New York,106100,59640
13-1111,North Carolina,100570,21490
13-1111,North Dakota,85570,720
13-1111,Ohio,84080,26160
13-1111,Oklahoma,82830,4240
13-1111,Oregon,96080,10510
13-1111,Pennsylvania,86790,21410
13-1111,Rhode Island,84990,4050
13-1111,South Carolina,85430,9070
13-1111,South Dakota,79470,2870
13-1111,Tennessee,83620,9580
13-1111,Texas,95760,50900
13-1111,Utah,80220,5460
13-1111,Vermont,106680,960
13-1111,Washington,108700,25540
13-1111,West Virginia,82830,1550
13-1111,Wisconsin,99630,13160
13-1111,Wyoming,105060,530
13-1161,Alabama,57730,7220
13-1161,Alaska,59990,350
13-1161,Arizona,67900,16680
13-1161,Arkansas,62980,5650
13-1161,California,83090,113630
13-1161,Colorado,77250,26880
13-1161,Connecticut,73900,8330
13-1161,Delaware,84710,2610
13-1161,District of Columbia,79630,6320
13-1161,Florida,71650,55760
13-1161,Georgia,67970,28440
13-1161,Hawaii,59300,1690
13-1161,Idaho,55780,2770
13-1161,Illinois,69990,37790
13-1161,Indiana,62330,14400
13-1161,Iowa,62660,7920
13-1161,Kansas,61220,8380
13-1161,Kentucky,59630,5830
13-1161,Louisiana,57620,4030
13-1161,Maine,73390,1870
13-1161,Maryland,71330,13560
13-1161,Massachusetts,82040,27020
13-1161,Michigan,64940,22570
13-1161,Minnesota,78970,22940
13-1161,Mississippi,52740,2480
13-1161,Missouri,63590,14030
13-1161,Montana,69380,1740
13-1161,Nebraska,60570,3690
13-1161,Nevada,63280,4290
13-1161,New Hampshire,63000,5410
13-1161,New Jersey,83490,21120
13-1161,New Mexico,56880,1980
13-1161,New York,86060,83450
13-1161,North Carolina,74910,28020
13-1161,North Dakota,58650,1460
13-1161,Ohio,65340,26940
13-1161,Oklahoma,57820,7230
13-1161,Oregon,77610,11000
13-1161,Pennsylvania,61210,30820
